Fiber 1_right: Spring Idx,x (mm),y (mm),z (mm),Cutting plane x
0,1.0,10.863890525880635,1.0323522106855343,1
1,2.3290360046534277,10.666137838806,1.0684313809404702,1
2,4.635540348460571,9.878387972911561,1.139660139669835,1
3,6.708681680363184,8.599087864178573,1.2108888983991997,1
4,8.445367757189631,6.892494810255937,1.2821176571285644,1
5,9.759379759839033,4.844098244942222,1.353346415857929,1
6,10.585652594381475,2.5563373515330836,1.4245751745872937,1
7,10.883496518905673,0.14347817834836735,1.4958039333166584,1
8,10.638600588819452,-2.274093555183168,1.567032692046023,1
9,9.863719292797812,-4.575878908040495,1.6382614507753877,1
10,8.598009485610588,-6.647271740801927,1.7094902095047524,1
11,6.905052031260693,-8.385264954632826,1.7807189682341171,1
12,4.869658093739667,-9.703572833113032,1.8519477269634819,1
13,2.5936204890555445,-10.536914764787316,1.9231764856928464,1
14,1.0,-10.782788234904327,1.9650290355117757,1
15,1.0,-5.410469398120394,2.231859829305215,1
16,1.0,-0.03815056133646433,2.498690623098655,1
17,1.0,5.334168275447467,2.7655214168920947,1
18,1.0,10.706487112231398,3.0323522106855343,1
19,2.110994412443446,10.554339771556487,3.0628366253626815,1
20,4.398214027665543,9.817722375537643,3.134065384092046,1
21,6.463887061044405,8.59254082052303,3.2052941428214106,1
22,8.205285465253324,6.94035871540839,3.2765229015507753,1
23,9.535948529507124,4.943958924033426,3.34775166028014,1
24,10.389975587234847,2.7031958109327636,3.418980419009505,1
25,10.72528957142076,0.33000084990896533,3.4902091777388695,1
26,10.52570980645704,-2.0572086036068513,3.5614379364682343,1
27,9.801731942380314,-4.339438082920324,3.632666695197599,1
28,8.589977482205883,-6.403047488407133,3.7038954539269637,1
29,6.9513417033841005,-8.145409609391214,3.775124212656328,1
30,4.967933621147166,-9.480013933363143,3.8463529713856928,1
31,2.7389617539940456,-10.34076192407992,3.9175817301150575,1
32,1.0,-10.625384821255091,3.9650290355117757,1
33,1.0,-5.331767691295779,4.231859829305215,1
34,1.0,-0.038150561336465216,4.498690623098655,1
35,1.0,5.2554665686228486,4.765521416892095,1
36,1.0,10.54908369858216,5.032352210685534,1
37,1.897611471589473,10.438219000804766,5.057241869784892,1
38,4.1644716545705736,9.751809606061796,5.128470628514258,1
39,6.2214236600482895,8.580083478968547,5.199699387243622,1
40,7.966166018519294,6.981943461464597,5.270928145972986,1
41,9.312064246026008,5.037484118282797,5.342156904702351,1
42,10.192452567427166,2.843977710132014,5.413385663431716,1
43,10.563935893507692,0.511008164610479,5.484614422161081,1
44,10.40852851142408,-1.8450035353122054,5.555843180890445,1
45,9.734524099577175,-4.106609044667251,5.62707193961981,1
46,8.576055022142361,-6.161187513886671,5.698300698349175,1
47,6.991364232441484,-7.906553742754435,5.769529457078539,1
48,5.059877257498042,-9.256040363512128,5.840758215807904,1
49,2.8782214525999366,-10.142801292366718,5.911986974537268,1
50,1.0,-10.467981407605853,5.965029035511776,1
51,1.0,-5.253065984471158,6.231859829305216,1
52,1.0,-0.03815056133646433,6.498690623098655,1
