Fiber 1_left: Spring Idx,x (mm),y (mm),z (mm),Cutting plane x
0,-1.0,-10.928549198676187,0.03559835209260463,-1
1,-2.4397767745679295,-10.72037588148319,0.07122875872936468,-1
2,-4.755512279700466,-9.9067200938645,0.14245751745872937,-1
3,-6.831911552264006,-8.600120666229081,0.21368627618809405,-1
4,-8.565723964499218,-6.86619365640866,0.28491503491745873,-1
5,-9.870877404381861,-4.791788144644491,0.3561437936468234,-1
6,-10.682751091044269,-2.4806362157758968,0.4273725523761881,-1
7,-10.961374917258098,-0.04816580541736501,0.4986013111055528,-1
8,-10.69339692931087,2.384264206739001,0.5698300698349175,-1
9,-9.892722113918134,4.695418736012568,0.6410588285642822,-1
10,-8.599791985839254,6.770228986150608,0.7122875872936468,-1
11,-6.879542247931475,8.50552153245211,0.7835163460230115,-1
12,-4.818141647651554,9.815148753801603,0.8547451047523762,-1
13,-2.5186758000463603,10.634265498232628,0.9259738634817409,-1
14,-1.0,10.870978960185717,0.9682751769188459,-1
15,-1.0,5.460447773882549,1.2351059707122856,-1
16,-1.0,0.049916587579383,1.5019367645057253,-1
17,-1.0,-5.360614598723783,1.768767558299165,-1
18,-1.0,-10.77114578502695,2.0355983520926046,-1
19,-2.219438233297182,-10.610787164967203,2.0656340031515756,-1
20,-4.5164361956425525,-9.848717704765846,2.1368627618809404,-1
21,-6.586001265561409,-8.596558045745496,2.208091520610305,-1
22,-8.325215435585896,-6.917214611521434,2.27932027933967,-1
23,-9.647730382068946,-4.894821364782131,2.3505490380690346,-1
24,-10.488054395624447,-2.630524845093163,2.4217777967983993,-1
25,-10.804795411610547,-0.23742554205643004,2.493006555527764,-1
26,-10.582699559563943,2.1650714020287944,2.564235314257129,-1
27,-9.833384849183094,4.457213982004499,2.635464072986493,-1
28,-8.594734751394341,6.524872344872505,2.706692831715858,-1
29,-6.928983264279235,8.26522150566933,2.7779215904452226,-1
30,-4.919588242306841,9.591854812906375,2.8491503491745873,-1
31,-2.667050065785622,10.439073873870976,2.920379107903952,-1
32,-1.0,10.71357554653648,2.968275176918846,-1
33,-1.0,5.381746067057932,3.2351059707122856,-1
34,-1.0,0.049916587579383886,3.501936764505725,-1
35,-1.0,-5.2819128918991645,3.7687675582991647,-1
36,-1.0,-10.613742371377713,4.035598352092604,-1
37,-2.003715302553319,-10.496811676276371,4.060039247573787,-1
38,-4.28088788777335,-9.785415217266431,4.131268006303151,-1
39,-6.342355693254018,-8.587045976579104,4.2024967650325165,-1
40,-8.085596227753301,-6.961932979249596,4.273725523761881,-1
41,-9.42405342350469,-4.991512558281603,4.344954282491246,-1
42,-10.291435273352024,-2.7743475820878065,4.41618304122061,-1
43,-10.644997034238354,-0.4211972657913026,4.487411799949975,-1
44,-10.467647399456744,1.9505158242546936,4.55864055867934,-1
45,-9.768773876697324,4.222565171893854,4.629869317408704,-1
46,-8.583747554793755,6.281813733784706,4.701098076138069,-1
47,-6.97213330658316,8.025847604560655,4.7723268348674335,-1
48,-5.014695973501132,9.36806939642846,4.843555593596799,-1
49,-2.809352995989847,10.24199802450508,4.914784352326163,-1
50,-1.0,10.556172132887243,4.968275176918846,-1
51,-1.0,5.303044360233313,5.235105970712286,-1
52,-1.0,0.049916587579383,5.501936764505725,-1
53,-1.0,-5.203211185074547,5.768767558299164,-1
54,-1.0,-10.456338957728477,6.035598352092604,-1
55,-1.7926932940235882,-10.378577968647877,6.054444491995998,-1
56,-4.048979040578357,-9.716919060230175,6.125673250725363,-1
57,-6.101107328878285,-8.57166346822642,6.196902009454727,-1
58,-7.847013044744872,-7.000396420495155,6.268130768184092,-1
59,-9.200000137353328,-5.081875669394081,6.339359526913457,-1
