Fiber 1: Spring Idx,x (mm),y (mm),z (mm)
0,1.3471114790620886e-15,-11.0,0.0
1,-1.6340972318267974,-10.874237726196093,0.04747792220740247
2,-3.2308290526495744,-10.507159954866967,0.09495584441480494
3,-4.7547738659675325,-9.907076555203085,0.14243376662220741
4,-6.172149550057584,-9.087464493918434,0.18991168882960988
5,-7.4515623225235625,-8.066665201075162,0.23738961103701234
6,-8.564702083826031,-6.867474146365974,0.28486753324441483
7,-9.486968838673285,-5.516631809317546,0.33234545545181726
8,-10.198016334540796,-4.044227409855689,0.37982337765921975
9,-10.682200903663178,-2.483028694849731,0.42730129986662224
10,-10.928925607398462,-0.8677527089696516,0.4747792220740247
11,-10.932872112820933,0.7657062216049655,0.5222571442814271
12,-10.69411522886058,2.3810741250339986,0.5697350664888297
13,-10.21811763771704,3.942502914343363,0.6172129886962321
14,-9.515605018650504,5.41536592433631,0.6646909109036345
15,-8.602324416470765,6.767025800426933,0.7121688331110371
16,-7.49869129716424,7.967557710549276,0.7596467553184395
17,-6.229333200657844,8.990411854545528,0.8071246775258419
18,-4.82254019101775,9.81300060379515,0.8546025997332445
19,-3.3096343666924706,10.417197286918979,0.9020805219406469
20,-1.7242724821003659,10.789735607594732,0.9495584441480494
21,-0.1016972074047598,10.922500893920692,0.9970363663554519
22,1.522046316833698,10.8127067860594,1.0445142885628542
23,3.1109112141394406,10.462953516509431,1.0919922107702569
24,4.629649107609915,9.881166568636504,1.1394701329776593
25,6.044592091297492,9.08041715557264,1.1869480551850617
26,7.324399089774457,8.07862858427036,1.2344259773924642
27,8.440750060422134,6.898175100174792,1.2819038995998666
28,9.368972662019475,5.565382190528514,1.329381821807269
29,10.088587522822717,4.109939505956546,1.3768597440146717
30,10.583760057782397,2.5642394923927294,1.4243376662220741
31,10.843648867303788,0.9626564658702096,1.4718155884294766
32,10.862643052603234,-0.6592178250159365,1.519293510636879
33,10.640483253977392,-2.2653651489696127,1.5667714328442814
34,10.182263803206734,-3.8201406770327857,1.6142493550516839
35,9.498316022395526,-5.289064039129987,1.6617272772590863
36,8.60397534013506,-6.639583996410026,1.709205199466489
37,7.519237473388561,-7.841799771249715,1.7566831216738914
38,6.26831138275153,-8.86912305043857,1.8041610438812938
39,4.8790789952244,-9.698866004925902,1.8516389660886963
40,3.3824737516973444,-10.312742321867816,1.8991168882960987
41,1.811791830340499,-10.697270184655437,1.9465948105035011
42,0.20195138236902244,-10.844068320876232,1.9940727327109038
43,-1.4112837395544764,-10.750038618099499,2.0415506549183062
44,-2.992098502870401,-10.417431330015818,2.0890285771257084
45,-4.505421815720067,-9.85379150469731,2.136506499333111
46,-5.917704594318268,-9.071787904595007,2.1839844215405138
47,-7.19766351535401,-8.088928295769337,2.231462343747916
48,-8.316973965157912,-6.927167503882788,2.2789402659553186
49,-9.250896836387206,-5.612417010782193,2.326418188162721
50,-9.97882530198502,-4.17396704540362,2.3738961103701235
51,-10.484739482103695,-2.643834057982319,2.4213740325775257
52,-10.757558972686404,-1.0560481143436748,2.4688519547849284
53,-10.791385478715572,0.5541039289955471,2.516329876992331
54,-10.58563024012185,2.150862637252844,2.5638077991997332
55,-10.145023499603862,3.69879016906507,2.611285721407136
56,-9.479505882198204,5.163556769887887,2.658763643614538
57,-8.604004178139794,6.512702131992565,2.7062415658219408
58,-7.5380965851607,7.716354735763651,2.7537194880293434
59,-6.305574916992623,8.747893231299564,2.8011974102367456
60,-4.933913567136094,9.584535216876567,2.8486753324441483
61,-3.453657080383006,10.207840392607752,2.8961532546515505
62,-1.897739983467612,10.604116977387765,2.943631176858953
63,-0.30075402081690616,10.764722432366865,2.9911090990663554
64,1.3018209012997661,10.68625188673127,3.038587021273758
65,2.874404964324541,10.37061015911829,3.0860649434811607
66,4.382108368298986,9.824965855017576,3.133542865688563
67,5.791505406313207,9.061588639509194,3.1810207878959655
68,7.071375508707135,8.097573377498835,3.2284987101033678
69,8.19339482820104,6.954457342685834,3.2759766323107704
70,9.132763046341614,5.657739066193918,3.3234545545181726
71,9.868751530208824,4.236309573593022,3.3709324767255753
72,10.3851607238463,2.721808696726129,3.418410398932978
73,10.670676682171917,1.1479208014706526,3.46588832114038
74,10.719118901091944,-0.45037439222983416,3.513366243347783
75,10.529574016169704,-2.0375792354598126,3.560844165555185
76,10.106412479672453,-3.57846654227311,3.6083220877625877
77,9.459187925724144,-5.03886143853743,3.6558000099699903
78,8.60242153786351,-6.386399314963679,3.7032779321773925
79,7.55527628471967,-7.591243073961237,3.750755854384795
80,6.341128331163941,-8.626743775150107,3.7982337765921974
81,4.987045210044901,-9.470030051807766,3.8457116987996
82,3.5231824030084162,-10.102513261853337,3.8931896210070023
83,1.9821117822823529,-10.510297216623737,3.940667543214405
84,0.39809686880885903,-10.684483456748858,3.9881454654218076
85,-1.193668967438693,-10.621365369516168,4.03562338762921
